candidate_id,rank,score,reasoning
CAND_0027691,1,0.8961,"Strong Senior AI Engineer matching the JD perfectly with 6.5 years of experience. Experienced in building search/retrieval with LoRA, PEFT, Recommendation Systems. Noida/Pune relocation compatible."
CAND_0018499,2,0.883,"Ideal founding member profile with 7.2 years of ML experience. Shipped Deep Learning, Weaviate, Recommendation Systems systems at product companies; strong availability signal (15d notice)."
CAND_0052328,3,0.8735,"Exceptional candidate with 6.5 years of experience. Currently working as a Recommendation Systems Engineer. Shipped production systems using LoRA, OpenSearch, QLoRA, with outstanding fit for our founding team."
CAND_0007009,4,0.8714,"Strong Senior AI Engineer matching the JD perfectly with 7.9 years of experience. Experienced in building search/retrieval with Statistical Modeling, Weaviate, Python. Noida/Pune relocation compatible."
CAND_0081852,5,0.8353,"Ideal founding member profile with 5.9 years of ML experience. Shipped Semantic Search, TTS, Milvus systems at product companies; strong availability signal (45d notice)."
CAND_0017960,6,0.8324,"Exceptional candidate with 7.7 years of experience. Currently working as a Recommendation Systems Engineer. Shipped production systems using LlamaIndex, QLoRA, Hugging Face Transformers, with outstanding fit for our founding team."
CAND_0061257,7,0.8292,"Strong Senior AI Engineer matching the JD perfectly with 8.0 years of experience. Experienced in building search/retrieval with PEFT, Haystack, Time Series. Noida/Pune relocation compatible."
CAND_0096172,8,0.8261,"Ideal founding member profile with 5.2 years of ML experience. Shipped OpenSearch, Haystack, Forecasting systems at product companies; strong availability signal (45d notice)."
CAND_0015578,9,0.8245,"Exceptional candidate with 5.4 years of experience. Currently working as a AI Engineer. Shipped production systems using Diffusion Models, Embeddings, NLP, with outstanding fit for our founding team."
CAND_0096142,10,0.8242,"Strong Senior AI Engineer matching the JD perfectly with 5.0 years of experience. Experienced in building search/retrieval with LoRA, Weaviate, Pinecone. Noida/Pune relocation compatible."
CAND_0029367,11,0.8219,"Ideal founding member profile with 5.7 years of ML experience. Shipped GANs, Haystack, MLflow systems at product companies; strong availability signal (90d notice)."
CAND_0045250,12,0.8198,"Exceptional candidate with 6.6 years of experience. Currently working as a Applied ML Engineer. Shipped production systems using Sentence Transformers, Milvus, LoRA, with outstanding fit for our founding team."
